

*******************************************************************************
Ephemeris / WWW_USER Fri Feb  3 11:58:09 2023 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Sun (10)                        {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : B.C. 9998-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 9999-Jan-01 00:00:00.0000 UT      
Step-size       : 1 calendar year
*******************************************************************************
Target pole/equ : IAU_SUN                         {East-longitude positive}
Target radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun (R_eq= 696000.000) km
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
EOP file        : eop.230201.p230427                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-FEB-01. PREDICTS-> 2023-APR-26
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN:SS, Date_________JDUT, , ,       TDB-UT,
***********************************************************
$$SOE
b9841-Jan-01 00:00:00, -1873002.50000000, , , 428145.80483,
b9840-Jan-01 00:00:00, -1872636.50000000, , , 428072.26421,
b9839-Jan-01 00:00:00, -1872271.50000000, , , 427998.93083,
b9838-Jan-01 00:00:00, -1871906.50000000, , , 427925.60372,
b9837-Jan-01 00:00:00, -1871541.50000000, , , 427852.28290,
b9836-Jan-01 00:00:00, -1871175.50000000, , , 427778.76750,
b9835-Jan-01 00:00:00, -1870810.50000000, , , 427705.45926,
b9834-Jan-01 00:00:00, -1870445.50000000, , , 427632.15731,
b9833-Jan-01 00:00:00, -1870080.50000000, , , 427558.86163,
b9832-Jan-01 00:00:00, -1869714.50000000, , , 427485.37146,
b9831-Jan-01 00:00:00, -1869349.50000000, , , 427412.08837,
b9830-Jan-01 00:00:00, -1868984.50000000, , , 427338.81156,
b9829-Jan-01 00:00:00, -1868619.50000000, , , 427265.54103,
b9828-Jan-01 00:00:00, -1868253.50000000, , , 427192.07607,
b9827-Jan-01 00:00:00, -1867888.50000000, , , 427118.81813,
b9826-Jan-01 00:00:00, -1867523.50000000, , , 427045.56647,
b9825-Jan-01 00:00:00, -1867158.50000000, , , 426972.32110,
b9824-Jan-01 00:00:00, -1866792.50000000, , , 426898.88136,
b9823-Jan-01 00:00:00, -1866427.50000000, , , 426825.64856,
b9822-Jan-01 00:00:00, -1866062.50000000, , , 426752.42205,
b9821-Jan-01 00:00:00, -1865697.50000000, , , 426679.20182,
b9820-Jan-01 00:00:00, -1865331.50000000, , , 426605.78730,
b9819-Jan-01 00:00:00, -1864966.50000000, , , 426532.57966,
b9818-Jan-01 00:00:00, -1864601.50000000, , , 426459.37830,
b9817-Jan-01 00:00:00, -1864236.50000000, , , 426386.18322,
b9816-Jan-01 00:00:00, -1863870.50000000, , , 426312.79391,
b9815-Jan-01 00:00:00, -1863505.50000000, , , 426239.61142,
b9814-Jan-01 00:00:00, -1863140.50000000, , , 426166.43520,
b9813-Jan-01 00:00:00, -1862775.50000000, , , 426093.26527,
b9812-Jan-01 00:00:00, -1862409.50000000, , , 426019.90119,
b9811-Jan-01 00:00:00, -1862044.50000000, , , 425946.74384,
b9810-Jan-01 00:00:00, -1861679.50000000, , , 425873.59277,
b9809-Jan-01 00:00:00, -1861314.50000000, , , 425800.44799,
b9808-Jan-01 00:00:00, -1860948.50000000, , , 425727.10912,
b9807-Jan-01 00:00:00, -1860583.50000000, , , 425653.97693,
b9806-Jan-01 00:00:00, -1860218.50000000, , , 425580.85101,
b9805-Jan-01 00:00:00, -1859853.50000000, , , 425507.73138,
b9804-Jan-01 00:00:00, -1859487.50000000, , , 425434.41773,
b9803-Jan-01 00:00:00, -1859122.50000000, , , 425361.31068,
b9802-Jan-01 00:00:00, -1858757.50000000, , , 425288.20991,
b9801-Jan-01 00:00:00, -1858392.50000000, , , 425215.11543,
b9800-Jan-01 00:00:00, -1858026.50000000, , , 425141.82699,
b9799-Jan-01 00:00:00, -1857661.50000000, , , 425068.74509,
b9798-Jan-01 00:00:00, -1857296.50000000, , , 424995.66948,
b9797-Jan-01 00:00:00, -1856931.50000000, , , 424922.60014,
b9796-Jan-01 00:00:00, -1856565.50000000, , , 424849.33692,
b9795-Jan-01 00:00:00, -1856200.50000000, , , 424776.28017,
b9794-Jan-01 00:00:00, -1855835.50000000, , , 424703.22970,
b9793-Jan-01 00:00:00, -1855470.50000000, , , 424630.18552,
b9792-Jan-01 00:00:00, -1855104.50000000, , , 424556.94752,
b9791-Jan-01 00:00:00, -1854739.50000000, , , 424483.91592,
b9790-Jan-01 00:00:00, -1854374.50000000, , , 424410.89060,
b9789-Jan-01 00:00:00, -1854009.50000000, , , 424337.87156,
b9788-Jan-01 00:00:00, -1853643.50000000, , , 424264.65878,
b9787-Jan-01 00:00:00, -1853278.50000000, , , 424191.65233,
b9786-Jan-01 00:00:00, -1852913.50000000, , , 424118.65215,
b9785-Jan-01 00:00:00, -1852548.50000000, , , 424045.65827,
b9784-Jan-01 00:00:00, -1852182.50000000, , , 423972.47070,
b9783-Jan-01 00:00:00, -1851817.50000000, , , 423899.48940,
b9782-Jan-01 00:00:00, -1851452.50000000, , , 423826.51438,
b9781-Jan-01 00:00:00, -1851087.50000000, , , 423753.54564,
b9780-Jan-01 00:00:00, -1850721.50000000, , , 423680.38329,
b9779-Jan-01 00:00:00, -1850356.50000000, , , 423607.42713,
b9778-Jan-01 00:00:00, -1849991.50000000, , , 423534.47726,
b9777-Jan-01 00:00:00, -1849626.50000000, , , 423461.53367,
b9776-Jan-01 00:00:00, -1849260.50000000, , , 423388.39654,
b9775-Jan-01 00:00:00, -1848895.50000000, , , 423315.46554,
b9774-Jan-01 00:00:00, -1848530.50000000, , , 423242.54081,
b9773-Jan-01 00:00:00, -1848165.50000000, , , 423169.62237,
b9772-Jan-01 00:00:00, -1847799.50000000, , , 423096.51046,
b9771-Jan-01 00:00:00, -1847434.50000000, , , 423023.60460,
b9770-Jan-01 00:00:00, -1847069.50000000, , , 422950.70502,
b9769-Jan-01 00:00:00, -1846704.50000000, , , 422877.81173,
b9768-Jan-01 00:00:00, -1846338.50000000, , , 422804.72504,
b9767-Jan-01 00:00:00, -1845973.50000000, , , 422731.84433,
b9766-Jan-01 00:00:00, -1845608.50000000, , , 422658.96990,
b9765-Jan-01 00:00:00, -1845243.50000000, , , 422586.10176,
b9764-Jan-01 00:00:00, -1844877.50000000, , , 422513.04028,
b9763-Jan-01 00:00:00, -1844512.50000000, , , 422440.18472,
b9762-Jan-01 00:00:00, -1844147.50000000, , , 422367.33545,
b9761-Jan-01 00:00:00, -1843782.50000000, , , 422294.49245,
