1828,2388802.1203997484
1827,2388436.880239784
1826,2388071.636488957
1825,2387706.3922640923
1824,2387341.152010457
1823,2386975.9128645863
1822,2386610.6732937736
1821,2386245.4278341117
1820,2385880.182733769
1819,2385514.943801233
1818,2385149.700659048
1817,2384784.4588088375
1816,2384419.219527218
1815,2384053.9794312143
1814,2383688.738643963
1813,2383323.4925504923
1812,2382958.249521594
1811,2382593.008819856
1810,2382227.764319345
1809,2381862.5154742673
1808,2381497.27029449
1807,2381132.0292295814
1806,2380766.7861106806
1805,2380401.545252995
1804,2380036.3036546684
1803,2379671.0653438107
1802,2379305.8251732513
1801,2378940.579808115
1800,2378575.3416647646
1799,2378210.104475456
1798,2377844.8606786244
1797,2377479.616588902
1796,2377114.3705157014
1795,2376749.1279962263
1794,2376383.885797838
1793,2376018.6393318786
1792,2375653.397561784
1791,2375288.1591701303
1790,2374922.9129069545
1789,2374557.6698763724
1788,2374192.428261734
1787,2373827.1862229533
1786,2373461.9459576723
1785,2373096.6964282184
1784,2372731.4538087863
1783,2372366.2170762355
1782,2372000.9734831513
1781,2371635.7347939387
1780,2371270.495420194
1779,2370905.2545347987
1778,2370540.0145961735
1777,2370174.7678442975
1776,2369809.525792042
1775,2369444.288721986
1774,2369079.040135482
1773,2368713.7926963815
1772,2368348.549005189
1771,2367983.3025842044
1770,2367618.0624268386
1769,2367252.8177311583
1768,2366887.5745573845
1767,2366522.3420441044
1766,2366157.0950027006
1765,2365791.854700297
1764,2365426.6187326945
1763,2365061.375197412
1762,2364696.135964655
1761,2364330.887967894
1760,2363965.6423596265
1759,2363600.407153288
1758,2363235.1605574503
